                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0539,                0.54156,                 1.0137,                0.88138,                0.74525,                0.82789,                0.53502,                 1.0927,                0.50096,                  1.036,               0.003268,               0.003268,               0.003268
                     36,                 1.0433,                0.53318,                 1.0098,                0.88771,                0.74485,                0.82965,                0.53511,                 1.0876,                 0.4981,                 1.0343,                0.00307,                0.00307,                0.00307
                     37,                 1.0315,                0.52627,                 1.0025,                0.88824,                 0.7426,                0.82979,                0.53622,                 1.0823,                0.49603,                 1.0317,               0.002872,               0.002872,               0.002872
                     38,                 1.0258,                0.52214,                  1.001,                0.89039,                0.74394,                0.83214,                0.53975,                  1.077,                0.49322,                 1.0289,               0.002674,               0.002674,               0.002674
                     39,                 1.0141,                 0.5164,                0.99512,                0.88936,                0.74667,                0.83227,                0.54089,                 1.0734,                0.49018,                 1.0271,               0.002476,               0.002476,               0.002476
                     40,                 1.0036,                0.51094,                0.99345,                0.87936,                0.75413,                0.83265,                0.54233,                 1.0701,                0.48778,                 1.0253,               0.002278,               0.002278,               0.002278
                     41,                0.99659,                0.50528,                0.98952,                  0.879,                0.75516,                0.83203,                0.54254,                 1.0673,                0.48505,                 1.0234,                0.00208,                0.00208,                0.00208
                     42,                0.98782,                0.49967,                0.98803,                0.88342,                0.77713,                0.83611,                0.54647,                  1.064,                0.48235,                 1.0222,               0.001882,               0.001882,               0.001882
                     43,                0.97566,                0.49386,                  0.985,                0.88652,                0.77751,                0.83749,                0.54883,                 1.0608,                0.48011,                 1.0212,               0.001684,               0.001684,               0.001684
                     44,                0.96863,                0.48942,                0.98249,                0.88837,                0.77546,                0.83717,                0.54994,                 1.0578,                0.47793,                 1.0203,               0.001486,               0.001486,               0.001486
                     45,                0.95796,                0.48182,                0.97951,                0.89002,                0.77585,                0.83772,                0.55085,                  1.055,                0.47591,                 1.0193,               0.001288,               0.001288,               0.001288
                     46,                0.95034,                0.47756,                0.97533,                0.88906,                0.77564,                0.83596,                0.54958,                 1.0525,                0.47392,                 1.0182,                0.00109,                0.00109,                0.00109
                     47,                0.94234,                0.47121,                0.97001,                0.88929,                0.77778,                0.83803,                0.55084,                 1.0501,                0.47236,                 1.0172,               0.000892,               0.000892,               0.000892
                     48,                0.93355,                0.46576,                0.96926,                0.88663,                0.78079,                 0.8384,                0.55181,                  1.048,                0.47104,                 1.0165,               0.000694,               0.000694,               0.000694
                     49,                0.92617,                0.46376,                0.96714,                 0.8864,                0.78229,                0.83835,                0.55212,                 1.0459,                0.46982,                 1.0157,               0.000496,               0.000496,               0.000496
